,color
HP:0002414,7
HP:0002566,17
HP:0002619,5
HP:0002691,3
HP:0002901,13
HP:0002999,15
HP:0005435,10
HP:0002101,4
HP:0007271,7
HP:0007302,7
HP:0011324,3
HP:0011662,5
HP:0012303,5
HP:0012732,17
HP:0100735,5
HP:0100750,4
HP:0100753,7
HP:0100765,16
HP:0004870,10
HP:0002719,16
HP:0001743,16
HP:0001891,10
HP:0001894,10
HP:0001923,10
HP:0001974,10
HP:0011981,17
HP:0000707,7
HP:0001396,17
HP:0002597,5
HP:0003259,13
HP:0008282,13
HP:0011904,10
HP:0012418,4
HP:0025435,13
HP:0001931,10
HP:0005518,10
HP:0002970,15
HP:0000027,1
HP:0000121,1
HP:0000219,3
HP:0000557,11
HP:0000615,11
HP:0000646,11
HP:0000679,3
HP:0000704,3
HP:0000787,1
HP:0000843,21
HP:0000859,21
HP:0001284,7
HP:0002002,3
HP:0002049,1
HP:0002209,3
HP:0002213,9
HP:0002749,15
HP:0002757,15
HP:0002902,13
HP:0003124,13
HP:0005469,3
HP:0007513,9
HP:0007731,11
HP:0008069,9
HP:0009804,3
HP:0010471,13
HP:0011527,11
HP:0100493,13
HP:0100512,13
HP:0100530,13
HP:0100589,1
HP:0100612,3
HP:0100835,7
HP:0009919,11
HP:0012334,17
HP:0030404,7
HP:0030688,21
HP:0100570,7
HP:0006744,21
HP:0002897,21
HP:0003072,13
HP:0003165,21
HP:0008208,21
HP:0012091,17
HP:0000825,21
HP:0000845,7
HP:0000854,21
HP:0001031,9
HP:0002014,17
HP:0002044,8
HP:0002574,7
HP:0002893,7
HP:0004398,17
HP:0006767,7
HP:0008256,21
HP:0008283,21
HP:0010615,8
HP:0011760,7
HP:0011761,7
HP:0012197,21
HP:0100633,16
HP:0003118,21
HP:0007449,9
HP:0008291,7
HP:0012030,1
HP:0100522,21
HP:0000388,22
HP:0002003,3
HP:0003564,13
HP:0000421,3
HP:0001633,5
HP:0002380,7
HP:0010522,7
HP:0010526,7
HP:0012819,5
HP:0100248,7
HP:0100584,5
HP:0100776,3
HP:0008736,1
HP:0010720,9
HP:0000509,3
HP:0001287,7
HP:0001875,10
HP:0002028,17
HP:0002088,4
HP:0004432,10
HP:0006532,4
HP:0100658,6
HP:0100806,16
HP:0100838,9
HP:0001085,11
HP:0002187,7
HP:0002777,4
HP:0003510,0
HP:0000294,3
HP:0001171,15
HP:0003416,15
HP:0000140,1
HP:0000978,9
HP:0001155,24
HP:0002312,7
HP:0002355,7
HP:0002653,7
HP:0004324,0
HP:0006554,17
HP:0030214,7
HP:0200032,11
HP:0200119,16
HP:0030502,11
HP:0000493,11
HP:0000551,11
HP:0000603,11
HP:0000608,11
HP:0000610,11
HP:0007704,11
HP:0007722,11
HP:0007814,11
HP:0008002,11
HP:0030329,11
HP:0008059,11
HP:0030500,11
HP:0000964,9
HP:0000967,9
HP:0001879,10
HP:0002170,7
HP:0002248,5
HP:0002488,10
HP:0002573,5
HP:0002633,5
HP:0002665,10
HP:0003010,10
HP:0005558,10
HP:0006535,5
HP:0011029,5
HP:0011869,10
HP:0011875,10
HP:0100774,15
HP:0000014,1
HP:0000015,1
HP:0000025,1
HP:0000075,1
HP:0000125,1
HP:0000307,3
HP:0000348,3
HP:0000464,3
HP:0000581,3
HP:0000668,3
HP:0000960,15
HP:0001052,9
HP:0001181,15
HP:0001297,7
HP:0001361,11
HP:0001582,9
HP:0001609,12
HP:0001642,5
HP:0001822,15
HP:0002035,17
HP:0002071,7
HP:0002183,7
HP:0002253,17
HP:0002623,5
HP:0002644,15
HP:0002974,15
HP:0003028,15
HP:0003298,7
HP:0003422,15
HP:0004295,17
HP:0004305,7
HP:0004381,5
HP:0004428,3
HP:0004969,5
HP:0005344,5
HP:0006482,3
HP:0007372,7
HP:0008053,11
HP:0008499,11
HP:0008661,1
HP:0010662,7
HP:0010780,22
HP:0010880,23
HP:0011001,15
HP:0012433,7
HP:0100025,7
HP:0100539,3
HP:0100545,5
HP:0100785,7
HP:0100817,1
HP:0200021,15
HP:0000078,1
HP:0000079,1
HP:0000159,3
HP:0000288,3
HP:0000520,3
HP:0000647,11
HP:0000776,2
HP:0000902,15
HP:0000925,15
HP:0001028,5
HP:0001177,15
HP:0001362,3
HP:0001558,23
HP:0002144,7
HP:0003363,0
HP:0006655,15
HP:0006703,4
HP:0007385,9
HP:0008830,15
HP:0009778,15
HP:0009890,3
HP:0010109,15
HP:0002867,15
HP:0002870,7
HP:0008803,15
HP:0008873,0
HP:0008921,0
HP:0009811,15
HP:0011800,3
HP:0100818,15
HP:0001268,7
HP:0002075,7
HP:0002073,7
HP:0001138,11
HP:0001152,11
HP:0001265,7
HP:0001266,7
HP:0002078,7
HP:0002345,7
HP:0010867,7
HP:0030890,7
HP:0000643,3
HP:0012048,7
HP:0000444,3
HP:0000579,3
HP:0009832,15
HP:0010562,9
HP:0100760,15
HP:0000260,3
HP:0000637,3
HP:0001238,15
HP:0002693,3
HP:0002942,15
HP:0003180,15
HP:0003366,15
HP:0006454,15
HP:0008783,15
HP:0011326,3
HP:0007894,11
HP:0011329,3
HP:0100558,15
HP:0002879,15
HP:0000174,3
HP:0000215,3
HP:0000306,3
HP:0001832,15
HP:0002164,9
HP:0002212,9
HP:0004634,15
HP:0005069,15
HP:0005622,15
HP:0006394,15
HP:0007665,3
HP:0008496,3
HP:0008839,15
HP:0009103,15
HP:0009937,9
HP:0011829,3
HP:0000771,14
HP:0001399,17
HP:0001987,13
HP:0002021,17
HP:0001933,9
HP:0002040,17
HP:0004420,10
HP:0000040,1
HP:0001525,0
HP:0004405,14
HP:0010312,14
HP:0010458,1
HP:0000239,3
HP:0001024,9
HP:0001363,3
HP:0010781,9
HP:0001562,23
HP:0100602,23
HP:0011405,0
HP:0007763,11
HP:0000622,11
HP:0007924,11
HP:0200125,13
HP:0000576,11
HP:0012841,11
HP:0002174,7
HP:0004309,5
HP:0003002,14
HP:0005701,15
HP:0006765,15
HP:0007461,5
HP:0009592,7
HP:0100021,7
HP:0100615,1
HP:0100641,21
HP:0100733,21
HP:0001331,7
HP:0000098,0
HP:0001480,9
HP:0002315,7
HP:0002858,7
HP:0007440,9
HP:0009732,7
HP:0009737,3
HP:0001909,10
HP:0002086,4
HP:0005506,10
HP:0007378,8
HP:0009735,7
HP:0010786,1
HP:0001254,7
HP:0001699,19
HP:0007359,7
HP:0000233,3
HP:0000375,22
HP:0000446,3
HP:0000532,11
HP:0000601,3
HP:0004327,11
HP:0005293,5
HP:0007833,11
HP:0007968,11
HP:0008063,11
HP:0100012,11
HP:0100718,1
HP:0000666,11
HP:0002268,7
HP:0002356,7
HP:0007104,7
HP:0007332,7
HP:0011295,7
HP:0012012,7
HP:0001874,10
HP:0100523,16
HP:0100533,11
HP:0100721,16
HP:0007939,11
HP:0000510,11
HP:0000543,11
HP:0001133,11
HP:0003701,2
HP:0003739,7
HP:0007117,7
HP:0007240,7
HP:0012751,7
HP:0030588,11
HP:0008316,13
HP:0000360,22
HP:0009193,15
HP:0009595,7
HP:0002231,9
HP:0009882,15
HP:0010803,3
HP:0100840,3
HP:0000527,3
HP:0003131,1
HP:0002591,7
HP:0010054,15
HP:0010058,15
HP:0011987,15
HP:0011989,15
HP:0002948,15
HP:0004408,3
HP:0008422,15
HP:0010610,9
HP:0010612,9
HP:0000325,3
HP:0000391,22
HP:0001928,10
HP:0004415,5
HP:0011381,22
HP:0000308,3
HP:0001620,12
HP:0200046,12
HP:0000037,1
HP:0000062,1
HP:0000789,1
HP:0000795,1
HP:0001997,15
HP:0002448,7
HP:0002669,15
HP:0002894,8
HP:0004375,7
HP:0100273,8
HP:0001942,13
HP:0100732,17
HP:0002211,9
HP:0004414,5
HP:0001167,15
HP:0001258,7
HP:0002779,4
HP:0002817,24
HP:0005048,15
HP:0010554,15
HP:0010804,3
HP:0011364,9
HP:0100490,2
HP:0000142,1
HP:0000143,1
HP:0001140,3
HP:0001199,15
HP:0001545,17
HP:0001770,15
HP:0004792,1
HP:0009465,15
HP:0009912,22
HP:0009944,15
HP:0010331,15
HP:0010481,1
HP:0010760,15
HP:0100559,0
HP:0000664,3
HP:0001595,9
HP:0002226,3
HP:0002227,3
HP:0008527,22
HP:0002153,13
HP:0003712,2
HP:0003752,2
HP:0007215,7
HP:0000069,1
HP:0000205,3
HP:0000211,3
HP:0000482,11
HP:0001239,2
HP:0001557,23
HP:0001621,12
HP:0002812,15
HP:0003044,15
HP:0003273,15
HP:0004325,0
HP:0005830,2
HP:0007740,3
HP:0008056,11
HP:0009743,3
HP:0010508,15
HP:0012544,13
HP:0100569,15
HP:0100795,15
HP:0100813,1
HP:0000592,11
HP:0000889,15
HP:0000974,9
HP:0008434,15
HP:0009381,15
HP:0009623,15
HP:0009748,22
HP:0009773,15
HP:0001919,1
HP:0002011,7
HP:0011227,13
HP:0001871,10
HP:0002904,13
HP:0012726,13
HP:0004303,2
HP:0008180,13
HP:0012240,2
HP:0009020,2
HP:0011998,13
HP:0003694,2
HP:0002203,7
HP:0006670,5
HP:0011481,3
HP:0000074,1
HP:0011388,22
HP:0000402,22
HP:0000413,22
HP:0004452,22
HP:0008586,22
HP:0009796,3
HP:0002138,7
HP:0200008,8
HP:0001082,17
HP:0001342,7
HP:0011025,5
HP:0100784,5
HP:0000270,3
HP:0001357,3
HP:0011386,22
HP:0005037,15
HP:0009899,22
HP:0000366,3
HP:0001003,9
HP:0002672,8
HP:0005244,17
HP:0006725,8
HP:0008675,1
HP:0011024,17
HP:0012126,8
HP:0012720,3
HP:0030079,1
HP:0100574,8
HP:0100582,3
HP:0100644,9
HP:0100669,3
HP:0100743,8
HP:0100751,8
HP:0100833,8
HP:0007299,7
HP:0100627,1
HP:0008665,1
HP:0000157,3
HP:0001088,11
HP:0001622,23
HP:0002126,7
HP:0006829,2
HP:0008167,13
HP:0009891,3
HP:0012736,7
HP:0000588,3
HP:0000892,15
HP:0000921,15
HP:0001302,7
HP:0001338,7
HP:0002036,6
HP:0002884,8
HP:0003305,15
HP:0003316,15
HP:0005338,3
HP:0005815,15
HP:0010759,3
HP:0011343,7
HP:0012469,7
HP:0001881,10
HP:0007626,3
HP:0000563,11
HP:0003022,15
HP:0003189,3
HP:0004617,15
HP:0006571,17
HP:0001272,7
HP:0002067,7
HP:0002716,16
HP:0007730,11
HP:0011358,9
HP:0012145,10
HP:0004467,3
HP:0100542,1
HP:0005107,15
HP:0200063,8
HP:0002582,17
HP:0003270,17
HP:0001392,17
HP:0000036,1
HP:0000221,3
HP:0000820,21
HP:0001317,7
HP:0004390,8
HP:0006731,21
HP:0009720,3
HP:0012032,8
HP:0012062,15
HP:0012114,1
HP:0012740,9
HP:0100031,21
HP:0100780,3
HP:0000445,3
HP:0000940,15
